,Name,Value (€)
598,Lukasz Fabianski,700000.0
599,Joseph Anang,300000.0
600,Nayef Aguerd,35000000.0
601,Kurt Zouma,25000000.0
602,Konstantinos Mavropanos,20000000.0
603,Thilo Kehrer,10000000.0
604,Kaelan Casey,1000000.0
605,Angelo Ogbonna,700000.0
606,Levi Laing,150000.0
607,Emerson,12000000.0
608,Aaron Cresswell,900000.0
609,Oliver Scarles,400000.0
610,Ben Johnson,8000000.0
611,Vladimír Coufal,8000000.0
612,Edson Álvarez,35000000.0
613,Tomáš Souček,30000000.0
614,Flynn Downes,9000000.0
615,Conor Coventry,1500000.0
616,James Ward-Prowse,30000000.0
617,Pablo Fornals,14000000.0
618,Lewis Orford,400000.0
619,Dan Chesters,200000.0
620,Lucas Paquetá,65000000.0
621,George Earthy,1000000.0
622,Kamarai Swyer,250000.0
623,Saïd Benrahma,20000000.0
624,Maxwel Cornet,9000000.0
625,Mohammed Kudus,50000000.0
626,Jarrod Bowen,50000000.0
627,Danny Ings,8000000.0
628,Michail Antonio,4000000.0
629,Callum Marshall,2000000.0
630,Divin Mubama,1000000.0
631,Anthony Patterson,12000000.0
632,Nathan Bishop,300000.0
633,Alex Bass,275000.0
634,Dan Ballard,4000000.0
635,Jenson Seelt,2000000.0
636,Luke O'Nien,1800000.0
637,Aji Alese,1000000.0
638,Danny Batth,300000.0
639,Joe Anderson,175000.0
640,Zak Johnson,50000.0
641,Callum Styles,2500000.0
642,Dennis Cirkin,2000000.0
643,Leo Hjelde,1500000.0
644,Trai Hume,7000000.0
645,Timothée Pembélé,2500000.0
646,Lynden Gooch,1200000.0
647,Niall Huggins,800000.0
648,Pierre Ekwah,2800000.0
649,Jobe Bellingham,12000000.0
650,Dan Neil,5000000.0
651,Nectarios Triantis,300000.0
652,Jay Matete,300000.0
653,Corry Evans,200000.0
654,Abdoullah Ba,4000000.0
655,Ellis Taylor,200000.0
656,Adil Aouchiche,2500000.0
657,Alex Pritchard,1500000.0
658,Bradley Dack,1000000.0
659,Elliot Embleton,900000.0
660,Chris Rigg,300000.0
661,Jack Clarke,15000000.0
662,Romaine Mundle,1500000.0
663,Jewison Bennette,900000.0
664,Jack Diamond,350000.0
665,Patrick Roberts,3200000.0
666,Nazariy Rusyn,2000000.0
667,Eliezer Mayenda,700000.0
668,Luís Semedo,600000.0
669,Illan Meslier,18000000.0
670,Kristoffer Klaesson,1800000.0
671,Karl Darlow,300000.0
672,Pascal Struijk,15000000.0
673,Charlie Cresswell,4000000.0
674,Liam Cooper,1000000.0
675,Djed Spence,8000000.0
676,Junior Firpo,5000000.0
677,Sam Byram,1000000.0
678,Connor Roberts,7000000.0
679,Cody Drameh,3000000.0
680,Jamie Shackleton,1500000.0
681,Luke Ayling,1000000.0
682,Ethan Ampadu,16000000.0
683,Ilia Gruev,5000000.0
684,Archie Gray,18000000.0
685,Glen Kamara,6000000.0
686,Darko Gyabi,1800000.0
687,Lewis Bate,1000000.0
688,Sam Greenwood,4500000.0
689,Crysencio Summerville,20000000.0
690,Wilfried Gnonto,16000000.0
691,Daniel James,14000000.0
692,Sonny Perkins,1000000.0
693,Ian Poveda,900000.0
694,Georginio Rutter,18000000.0
695,Joël Piroe,14000000.0
696,Patrick Bamford,4000000.0
697,Joe Gelhardt,4000000.0
698,Mateo Joseph,1200000.0
699,José Sá,14000000.0
700,Daniel Bentley,2000000.0
701,Tom King,200000.0
702,Louie Moulden,175000.0
703,Maximilian Kilman,32000000.0
704,Toti,20000000.0
705,Santiago Bueno,8000000.0
706,Yerson Mosquera,6000000.0
707,Craig Dawson,2000000.0
708,Justin Hubner,350000.0
709,Alfie Pond,250000.0
710,Rayan Aït-Nouri,35000000.0
711,Hugo Bueno,6000000.0
712,Nélson Semedo,12000000.0
713,Jonny Otto,5000000.0
714,Ki-Jana Hoever,4500000.0
715,Matt Doherty,3000000.0
716,Mario Lemina,10000000.0
717,Boubacar Traoré,6000000.0
718,Joe Hodge,1500000.0
719,Bruno Jordão,700000.0
720,Harvey Griffiths,150000.0
721,João Gomes,35000000.0
722,Jean-Ricner Bellegarde,15000000.0
723,Tommy Doyle,10000000.0
724,Luke Cundle,5000000.0
725,Pablo Sarabia,10000000.0
726,Chem Campbell,900000.0
727,Tawanda Chirewa,500000.0
728,Noha Lemina,500000.0
729,Enso González,4000000.0
730,Pedro Neto,55000000.0
731,Matheus Cunha,45000000.0
732,Hee-chan Hwang,25000000.0
733,Fábio Silva,11000000.0
734,Sasa Kalajdzic,5000000.0
735,Nathan Fraser,1000000.0
736,Leon Chiwome,1000000.0
737,James Trafford,18000000.0
738,Arijanet Murić,7000000.0
739,Lawrence Vigouroux,300000.0
740,Denis Franchi,250000.0
741,Jordan Beyer,13000000.0
742,Ameen Al-Dakhil,12000000.0
743,Dara O'Shea,7000000.0
744,Hjalmar Ekdal,7000000.0
745,Maxime Estève,7000000.0
746,Hannes Delcroix,4000000.0
747,Luke McNally,3800000.0
748,CJ Egan-Riley,1500000.0
749,Charlie Taylor,3000000.0
750,Lorenz Assignon,10000000.0
751,Vitinho,5000000.0
752,Sander Berge,20000000.0
753,Jack Cork,800000.0
754,Josh Brownhill,15000000.0
755,Josh Cullen,10000000.0
756,Han-Noah Massengo,4000000.0
757,Aaron Ramsey,15000000.0
758,Mike Tresor,12000000.0
759,Scott Twine,3000000.0
760,Wilson Odobert,10000000.0
761,Anass Zaroury,9000000.0
762,Jacob Bruun Larsen,8000000.0
763,Darko Churlinov,1500000.0
764,Dara Costelloe,325000.0
765,Luca Koleosho,7000000.0
766,Manuel Benson,5000000.0
767,Nathan Redmond,5000000.0
768,Jóhann Berg Gudmundsson,1000000.0
769,Enock Agyei,800000.0
770,Lyle Foster,13000000.0
771,Zeki Amdouni,12000000.0
772,Michael Obafemi,2200000.0
773,Jay Rodríguez,1000000.0
774,Thibaut Courtois,28000000.0
